deposit,poutcome_success,poutcome_is_unknown,poutcome_failure,poutcome_other,was_previously_contacted,previous_log1p,contact_is_unknown,contact_cellular,has_debt,financial_stress,balance_log1p,net_balance_indicator,is_peak_month,month_may,month_mar,month_sep,month_oct,month_dec,marital_single,marital_married,education_tertiary,education_primary,education_secondary,job,pdays,pdays_contacted,campaign_capped,age_squared
1,False,1,False,False,0,0.0,1,False,1,0,9.126088819528592,1,0,True,False,False,False,False,False,True,False,False,True,admin.,-1,,1.0,3481
1,False,1,False,False,0,0.0,1,False,0,0,8.83840674707681,1,0,True,False,False,False,False,False,True,False,False,True,admin.,-1,,1.0,3136
1,False,1,False,False,0,0.0,1,False,1,0,9.001962272862446,1,0,True,False,False,False,False,False,True,False,False,True,technician,-1,,1.0,1681
1,False,1,False,False,0,0.0,1,False,1,0,9.140454244512016,1,0,True,False,False,False,False,False,True,False,False,True,services,-1,,1.0,3025
1,False,1,False,False,0,0.0,1,False,0,0,8.858368636308018,1,0,True,False,False,False,False,False,True,True,False,False,admin.,-1,,2.0,2916
1,False,1,False,False,0,0.0,1,False,1,1,8.831857935197906,0,0,True,False,False,False,False,True,False,True,False,False,management,-1,,2.0,1764
1,False,1,False,False,0,0.0,1,False,1,1,8.946244609330543,1,0,True,False,False,False,False,False,True,True,False,False,management,-1,,1.0,3136
1,False,1,False,False,0,0.0,1,False,1,0,8.908424139496578,1,0,True,False,False,False,False,False,False,False,False,True,retired,-1,,1.0,3600
1,False,1,False,False,0,0.0,1,False,1,0,8.83200393125627,1,0,True,False,False,False,False,False,True,False,False,True,technician,-1,,1.0,1369
1,False,1,False,False,0,0.0,1,False,1,0,9.387565631345389,1,0,True,False,False,False,False,True,False,False,False,True,services,-1,,3.0,784
1,False,1,False,False,0,0.0,1,False,1,0,8.846353043314327,1,0,True,False,False,False,False,True,False,False,False,True,admin.,-1,,1.0,1444
1,False,1,False,False,0,0.0,1,False,1,0,8.875985891325971,1,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,2.0,900
1,False,1,False,False,0,0.0,1,False,1,1,8.860499167616016,1,0,True,False,False,False,False,False,True,True,False,False,management,-1,,4.0,841
1,False,1,False,False,0,0.0,1,False,1,0,8.896861744480391,1,0,True,False,False,False,False,True,False,True,False,False,blue-collar,-1,,2.0,2116
1,False,1,False,False,0,0.0,1,False,1,0,8.929567707825337,1,0,True,False,False,False,False,True,False,True,False,False,technician,-1,,2.0,961
1,False,1,False,False,0,0.0,1,False,1,0,9.276689752517717,1,0,True,False,False,False,False,False,False,True,False,False,management,-1,,1.0,1225
1,False,1,False,False,0,0.0,1,False,1,0,8.917310693197807,1,0,True,False,False,False,False,True,False,False,True,False,blue-collar,-1,,3.0,1024
1,False,1,False,False,0,0.0,1,False,1,1,8.830689198760998,0,0,True,False,False,False,False,False,True,False,False,True,services,-1,,1.0,2401
1,False,1,False,False,0,0.0,1,False,1,0,8.839856232763264,1,0,True,False,False,False,False,False,True,False,False,True,admin.,-1,,2.0,1681
1,False,1,False,False,0,0.0,1,False,1,1,8.85609105525229,1,0,True,False,False,False,False,False,False,False,False,True,admin.,-1,,1.0,2401
1,False,1,False,False,0,0.0,1,False,1,0,8.940367233305174,1,0,True,False,False,False,False,False,False,False,False,True,admin.,-1,,2.0,784
1,False,1,False,False,0,0.0,1,False,1,0,9.09560269450576,1,0,True,False,False,False,False,True,False,True,False,False,management,-1,,1.0,1849
1,False,1,False,False,0,0.0,1,False,1,0,8.886962034866128,1,0,True,False,False,False,False,False,False,True,False,False,management,-1,,2.0,1849
1,False,1,False,False,0,0.0,1,False,1,1,8.803424211600703,0,0,True,False,False,False,False,False,True,False,True,False,blue-collar,-1,,2.0,1849
1,False,1,False,False,0,0.0,1,False,1,0,8.88599431515281,1,0,True,False,False,False,False,True,False,False,False,True,unemployed,-1,,2.0,1369
1,False,1,False,False,0,0.0,1,False,1,0,8.837681215593197,1,0,True,False,False,False,False,True,False,False,False,True,blue-collar,-1,,4.0,1225
1,False,1,False,False,0,0.0,1,False,1,0,8.835064935031076,1,0,True,False,False,False,False,True,False,True,False,False,technician,-1,,3.0,961
1,False,1,False,False,0,0.0,1,False,1,0,8.832295859444011,1,0,True,False,False,False,False,True,False,False,False,True,blue-collar,-1,,3.0,1849
1,False,1,False,False,0,0.0,1,False,1,0,8.87570644462861,1,0,True,False,False,False,False,False,True,False,False,True,admin.,-1,,1.0,961
1,False,1,False,False,0,0.0,1,False,1,0,8.936955604225226,1,0,True,False,False,False,False,True,False,False,False,True,blue-collar,-1,,1.0,784
1,False,1,False,False,0,0.0,1,False,1,1,8.831711917821577,0,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,1.0,1024
1,False,1,False,False,0,0.0,1,False,1,0,8.84130362048157,1,0,True,False,False,False,False,False,True,False,True,False,technician,-1,,2.0,3600
1,False,1,False,False,0,0.0,1,False,1,0,8.843759381917984,1,0,True,False,False,False,False,True,False,False,False,True,blue-collar,-1,,1.0,676
1,False,1,False,False,0,0.0,1,False,1,0,8.83331693749932,1,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,2.0,1600
1,False,1,False,False,0,0.0,1,False,1,0,8.88723835429314,1,0,True,False,False,False,False,False,False,False,True,False,blue-collar,-1,,2.0,1089
1,False,1,False,False,0,0.0,1,False,0,0,8.87626525995469,1,0,True,False,False,False,False,True,False,True,False,False,management,-1,,2.0,1024
1,False,1,False,False,0,0.0,1,False,0,0,8.890548245606167,1,0,True,False,False,False,False,False,True,False,True,False,blue-collar,-1,,4.0,1225
1,False,1,False,False,0,0.0,1,False,1,0,8.832587702434553,1,0,True,False,False,False,False,False,False,False,False,True,management,-1,,1.0,1089
1,False,1,False,False,0,0.0,1,False,1,0,8.849083518532339,1,0,True,False,False,False,False,False,True,True,False,False,management,-1,,4.0,1444
1,False,1,False,False,0,0.0,1,False,1,0,8.832441791585824,1,0,True,False,False,False,False,True,False,False,True,False,entrepreneur,-1,,2.0,529
1,False,1,False,False,0,0.0,1,False,1,1,9.000976444070345,1,0,True,False,False,False,False,False,True,False,True,False,blue-collar,-1,,1.0,3600
1,False,1,False,False,0,0.0,1,False,1,0,9.082279701908664,1,0,True,False,False,False,False,False,True,True,False,False,management,-1,,2.0,2304
1,False,1,False,False,0,0.0,1,False,1,1,8.772455372611907,0,0,True,False,False,False,False,False,False,True,False,False,entrepreneur,-1,,1.0,2025
1,False,1,False,False,0,0.0,1,False,1,0,8.98894529119609,1,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,4.0,1296
1,False,1,False,False,0,0.0,1,False,1,0,9.11482017011877,1,0,True,False,False,False,False,False,True,False,False,False,management,-1,,1.0,2704
1,False,1,False,False,0,0.0,1,False,1,0,8.874727765766853,1,0,True,False,False,False,False,False,False,False,True,False,blue-collar,-1,,2.0,1225
1,False,1,False,False,0,0.0,1,False,1,0,9.223651386035854,1,0,True,False,False,False,False,False,True,False,False,True,technician,-1,,2.0,1849
1,False,1,False,False,0,0.0,1,False,1,0,9.28470545393149,1,0,True,False,False,False,False,False,True,False,False,True,housemaid,-1,,3.0,2704
1,False,1,False,False,0,0.0,1,False,1,0,9.02304647355567,1,0,True,False,False,False,False,False,False,False,True,False,technician,-1,,1.0,2809
1,False,1,False,False,0,0.0,1,False,1,0,8.835355971121606,1,0,True,False,False,False,False,False,False,False,True,False,blue-collar,-1,,1.0,2304
1,False,1,False,False,0,0.0,1,False,1,0,9.043931533642278,1,0,True,False,False,False,False,True,False,False,True,False,blue-collar,-1,,1.0,1681
1,False,1,False,False,0,0.0,1,False,1,1,8.904630097005011,1,0,True,False,False,False,False,False,False,True,False,False,management,-1,,1.0,1521
1,False,1,False,False,0,0.0,1,False,1,1,9.03240916348352,1,0,True,False,False,False,False,False,True,False,False,True,retired,-1,,2.0,3481
1,False,1,False,False,0,0.0,1,False,1,0,9.176990392294629,1,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,1.0,1681
1,False,1,False,False,0,0.0,1,False,1,0,9.018453210312527,1,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,2.0,2304
1,False,1,False,False,0,0.0,1,False,1,0,9.034080406560824,1,0,True,False,False,False,False,False,True,False,False,True,admin.,-1,,1.0,1600
1,False,1,False,False,0,0.0,1,False,1,0,9.0413298292419,1,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,1.0,2304
1,False,1,False,False,0,0.0,1,False,1,0,9.03491498187007,1,0,True,False,False,False,False,False,True,False,True,False,retired,-1,,1.0,3600
1,False,1,False,False,0,0.0,1,False,1,0,9.259225769705994,1,0,True,False,False,False,False,True,False,False,False,False,technician,-1,,2.0,1600
1,False,1,False,False,0,0.0,1,False,0,1,8.831711917821577,0,0,True,False,False,False,False,False,True,True,False,False,technician,-1,,2.0,3249
1,False,1,False,False,0,0.0,1,False,1,0,9.548881894718772,1,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,1.0,2601
1,False,1,False,False,0,0.0,1,False,1,0,9.40426106461349,1,0,True,False,False,False,False,False,False,False,False,True,blue-collar,-1,,3.0,1681
1,False,1,False,False,0,0.0,1,False,1,0,9.015905747298426,1,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,4.0,1681
1,False,1,False,False,0,0.0,1,False,1,1,8.80357441813497,0,0,True,False,False,False,False,False,False,False,True,False,blue-collar,-1,,1.0,2704
1,False,1,False,False,0,0.0,1,False,1,0,8.877521453852872,1,0,True,False,False,False,False,False,True,False,True,False,blue-collar,-1,,1.0,3481
1,False,1,False,False,0,0.0,1,False,1,0,8.852950887099581,1,0,True,False,False,False,False,False,True,False,False,False,blue-collar,-1,,1.0,1936
1,False,1,False,False,0,0.0,1,False,1,1,8.880446450715093,1,0,True,False,False,False,False,False,True,False,True,False,unknown,-1,,2.0,2401
1,False,1,False,False,0,0.0,1,False,1,1,8.830543010616596,0,0,True,False,False,False,False,False,True,False,True,False,services,-1,,2.0,1600
1,False,1,False,False,0,0.0,1,False,1,1,8.78615105486974,0,0,True,False,False,False,False,False,True,False,True,False,admin.,-1,,1.0,1681
1,False,1,False,False,0,0.0,1,False,1,0,9.343909263897595,1,0,True,False,False,False,False,False,True,True,False,False,technician,-1,,2.0,1936
1,False,1,False,False,0,0.0,1,False,1,0,8.876544550558378,1,0,True,False,False,False,False,True,False,False,True,False,services,-1,,2.0,3600
1,False,1,False,False,0,0.0,1,False,0,0,9.765661235628723,1,0,True,False,False,False,False,False,True,True,False,False,management,-1,,2.0,841
1,False,1,False,False,0,0.0,1,False,1,1,8.797246236703527,0,0,True,False,False,False,False,False,False,False,True,False,retired,-1,,2.0,1681
1,False,1,False,False,0,0.0,1,False,1,0,9.137984709784044,1,0,True,False,False,False,False,False,True,False,True,False,blue-collar,-1,,1.0,1681
1,False,1,False,False,0,0.0,1,False,1,0,9.013473543740192,1,0,True,False,False,False,False,True,False,False,False,True,technician,-1,,6.0,1764
1,False,1,False,False,0,0.0,1,False,1,0,8.872066513408342,1,0,True,False,False,False,False,True,False,False,False,False,services,-1,,1.0,1296
1,False,1,False,False,0,0.0,1,False,1,1,8.845489236753274,1,0,True,False,False,False,False,False,True,True,False,False,technician,-1,,1.0,1521
1,False,1,False,False,0,0.0,1,False,1,0,8.852664927703866,1,0,True,False,False,False,False,True,False,True,False,False,self-employed,-1,,1.0,961
1,False,1,False,False,0,0.0,1,False,1,0,8.867145589594143,1,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,3.0,676
1,False,1,False,False,0,0.0,1,False,1,0,8.845201135339584,1,0,True,False,False,False,False,False,True,False,False,True,blue-collar,-1,,1.0,961
1,False,1,False,False,0,0.0,1,False,1,1,8.855378246041125,1,0,True,False,False,False,False,True,False,False,False,True,admin.,-1,,1.0,841
1,False,1,False,False,0,0.0,1,False,1,0,8.838986793496787,1,0,True,False,False,False,False,False,False,False,False,True,services,-1,,2.0,1369
1,False,1,False,False,0,0.0,1,False,1,1,8.769196271411001,0,0,True,False,False,False,False,True,False,False,False,True,blue-collar,-1,,2.0,1089
1,False,1,False,False,0,0.0,1,False,1,0,8.889859587773016,1,0,True,False,False,False,False,True,False,False,False,True,technician,-1,,1.0,576
1,False,1,False,False,0,0.0,1,False,1,0,8.883501584323207,1,0,True,False,False,False,False,False,False,False,False,True,admin.,-1,,1.0,2500
1,False,1,False,False,0,0.0,1,False,1,0,9.264354960282422,1,0,True,False,False,False,False,True,False,True,False,False,technician,-1,,1.0,729
1,False,1,False,False,0,0.0,1,False,1,0,9.32741204356202,1,0,True,False,False,False,False,True,False,True,False,False,management,-1,,3.0,2916
1,False,1,False,False,0,0.0,1,False,1,0,8.950532836290382,1,0,True,False,False,False,False,True,False,False,False,True,technician,-1,,5.0,900
