age,job,marital,default,housing,loan,day,month,duration,pdays,deposit,was_previously_contacted,pdays_contacted,has_debt,net_balance_indicator,financial_stress,previous_log1p,balance_log1p,campaign_capped,poutcome_is_unknown,contact_is_unknown,poutcome_failure,poutcome_other,poutcome_success,contact_cellular,contact_telephone,education_primary,education_secondary,education_tertiary,education_unknown
59,admin.,married,no,yes,no,5,may,1042,-1,1,0,,1,1,0,0.0,9.126088819528592,1.0,1,1,False,False,False,False,False,False,True,False,False
56,admin.,married,no,no,no,5,may,1467,-1,1,0,,0,1,0,0.0,8.83840674707681,1.0,1,1,False,False,False,False,False,False,True,False,False
41,technician,married,no,yes,no,5,may,1389,-1,1,0,,1,1,0,0.0,9.001962272862446,1.0,1,1,False,False,False,False,False,False,True,False,False
55,services,married,no,yes,no,5,may,579,-1,1,0,,1,1,0,0.0,9.140454244512016,1.0,1,1,False,False,False,False,False,False,True,False,False
54,admin.,married,no,no,no,5,may,673,-1,1,0,,0,1,0,0.0,8.858368636308018,2.0,1,1,False,False,False,False,False,False,False,True,False
42,management,single,no,yes,yes,5,may,562,-1,1,0,,1,0,1,0.0,8.831857935197906,2.0,1,1,False,False,False,False,False,False,False,True,False
56,management,married,no,yes,yes,6,may,1201,-1,1,0,,1,1,1,0.0,8.946244609330543,1.0,1,1,False,False,False,False,False,False,False,True,False
60,retired,divorced,no,yes,no,6,may,1030,-1,1,0,,1,1,0,0.0,8.908424139496578,1.0,1,1,False,False,False,False,False,False,True,False,False
37,technician,married,no,yes,no,6,may,608,-1,1,0,,1,1,0,0.0,8.83200393125627,1.0,1,1,False,False,False,False,False,False,True,False,False
28,services,single,no,yes,no,6,may,1297,-1,1,0,,1,1,0,0.0,9.387565631345389,3.0,1,1,False,False,False,False,False,False,True,False,False
38,admin.,single,no,yes,no,7,may,786,-1,1,0,,1,1,0,0.0,8.846353043314327,1.0,1,1,False,False,False,False,False,False,True,False,False
30,blue-collar,married,no,yes,no,7,may,1574,-1,1,0,,1,1,0,0.0,8.875985891325971,2.0,1,1,False,False,False,False,False,False,True,False,False
29,management,married,no,yes,yes,7,may,1689,-1,1,0,,1,1,1,0.0,8.860499167616016,4.0,1,1,False,False,False,False,False,False,False,True,False
46,blue-collar,single,no,yes,no,7,may,1102,-1,1,0,,1,1,0,0.0,8.896861744480391,2.0,1,1,False,False,False,False,False,False,False,True,False
31,technician,single,no,yes,no,8,may,943,-1,1,0,,1,1,0,0.0,8.929567707825337,2.0,1,1,False,False,False,False,False,False,False,True,False
35,management,divorced,no,yes,no,8,may,1084,-1,1,0,,1,1,0,0.0,9.276689752517717,1.0,1,1,False,False,False,False,False,False,False,True,False
32,blue-collar,single,no,yes,no,8,may,541,-1,1,0,,1,1,0,0.0,8.917310693197807,3.0,1,1,False,False,False,False,False,True,False,False,False
49,services,married,no,yes,no,8,may,1119,-1,1,0,,1,0,1,0.0,8.830689198760998,1.0,1,1,False,False,False,False,False,False,True,False,False
41,admin.,married,no,yes,no,8,may,1120,-1,1,0,,1,1,0,0.0,8.839856232763264,2.0,1,1,False,False,False,False,False,False,True,False,False
49,admin.,divorced,no,yes,yes,8,may,513,-1,1,0,,1,1,1,0.0,8.85609105525229,1.0,1,1,False,False,False,False,False,False,True,False,False
28,admin.,divorced,no,yes,no,8,may,442,-1,1,0,,1,1,0,0.0,8.940367233305174,2.0,1,1,False,False,False,False,False,False,True,False,False
43,management,single,no,yes,no,8,may,756,-1,1,0,,1,1,0,0.0,9.095602694505759,1.0,1,1,False,False,False,False,False,False,False,True,False
43,management,divorced,no,yes,no,8,may,2087,-1,1,0,,1,1,0,0.0,8.886962034866128,2.0,1,1,False,False,False,False,False,False,False,True,False
43,blue-collar,married,no,yes,no,8,may,1120,-1,1,0,,1,0,1,0.0,8.803424211600703,2.0,1,1,False,False,False,False,False,True,False,False,False
37,unemployed,single,no,yes,no,8,may,985,-1,1,0,,1,1,0,0.0,8.88599431515281,2.0,1,1,False,False,False,False,False,False,True,False,False
35,blue-collar,single,no,yes,no,9,may,617,-1,1,0,,1,1,0,0.0,8.837681215593197,4.0,1,1,False,False,False,False,False,False,True,False,False
